Date,Open,High,Low,Close,Adj Close,Volume
2002-04-11,842.400024,848.599976,833.599976,846.099976,846.099976,429900
2002-04-12,829.700012,842.400024,829.500000,842.400024,842.400024,388900
2002-04-15,849.099976,863.200012,849.099976,858.200012,858.200012,365900
2002-04-16,859.200012,866.000000,858.099976,865.099976,865.099976,376500
2002-04-17,885.099976,887.799988,874.099976,874.299988,874.299988,416400
2002-04-18,876.900024,880.000000,872.900024,876.799988,876.799988,367300
2002-04-19,876.000000,879.900024,856.200012,858.799988,858.799988,366300
2002-04-22,854.299988,857.599976,815.200012,824.500000,824.500000,347500
2002-04-23,810.099976,816.500000,799.500000,810.200012,810.200012,300900
2002-04-24,807.700012,819.200012,790.700012,794.799988,794.799988,313800
2002-04-25,783.799988,787.400024,757.099976,757.299988,757.299988,282900
2002-04-26,759.900024,770.200012,752.500000,767.799988,767.799988,255700
2002-04-29,746.099976,757.400024,733.599976,737.000000,737.000000,261100
2002-04-30,735.900024,741.500000,727.000000,733.400024,733.400024,263100
2002-05-01,null,null,null,null,null,null
2002-05-02,748.299988,763.200012,745.500000,763.099976,763.099976,275200
2002-05-03,759.900024,768.599976,754.700012,764.799988,764.799988,304700
2002-05-06,759.700012,768.799988,753.799988,755.000000,755.000000,260800
