date,symbol,open,close,low,high,volume
1996-12-11,KOSPI,705.989990,704.679993,704.429993,709.479980,28000
1996-12-12,KOSPI,705.109985,689.380005,688.739990,706.010010,25900
1996-12-13,KOSPI,690.440002,689.070007,677.640015,695.719971,26500
1996-12-16,KOSPI,686.969971,673.919983,667.710022,686.969971,22800
1996-12-17,KOSPI,675.349976,663.349976,660.390015,680.090027,31600
1996-12-18,KOSPI,662.070007,661.390015,655.469971,671.429993,31500
1996-12-19,KOSPI,668.130005,690.969971,668.130005,690.969971,30400
1996-12-20,KOSPI,695.330017,700.869995,692.469971,703.510010,30000
1996-12-23,KOSPI,691.979980,684.809998,684.809998,697.119995,21500
1996-12-24,KOSPI,683.109985,677.760010,677.559998,687.059998,23800
1996-12-26,KOSPI,676.210022,659.010010,655.239990,676.210022,25500
1996-12-27,KOSPI,654.820007,651.219971,643.570007,657.039978,35100
1997-01-03,KOSPI,647.669983,653.789978,635.409973,655.700012,13900
1997-01-06,KOSPI,637.979980,626.869995,625.010010,637.979980,17600
1997-01-07,KOSPI,622.450012,611.049988,609.119995,627.609985,24100
1997-01-08,KOSPI,608.530029,621.409973,600.559998,623.390015,34200
1997-01-09,KOSPI,619.099976,639.869995,612.409973,640.809998,36100
1997-01-10,KOSPI,637.989990,648.690002,636.809998,653.590027,36500
1997-01-13,KOSPI,659.809998,659.539978,655.739990,664.950012,28700
1997-01-14,KOSPI,656.669983,686.590027,656.669983,687.659973,36600
1997-01-15,KOSPI,690.179993,699.760010,686.020020,699.760010,42000
1997-01-16,KOSPI,701.640015,711.859985,694.390015,711.960022,47300
1997-01-17,KOSPI,713.070007,701.179993,695.770020,720.409973,48200
1997-01-20,KOSPI,697.559998,718.460022,697.559998,720.690002,43000
1997-01-21,KOSPI,721.039978,690.539978,690.539978,721.789978,44300
1997-01-22,KOSPI,686.710022,678.940002,671.909973,686.890015,36700
1997-01-23,KOSPI,679.340027,676.909973,672.729980,685.140015,31000
1997-01-24,KOSPI,669.030029,679.559998,658.179993,679.559998,35500
1997-01-27,KOSPI,684.309998,664.700012,664.679993,685.460022,28300
1997-01-28,KOSPI,661.659973,662.849976,653.419983,677.630005,30400
1997-01-29,KOSPI,663.330017,663.559998,654.950012,672.900024,30200
1997-01-30,KOSPI,663.650024,676.520020,662.270020,679.039978,28800
1997-01-31,KOSPI,678.190002,685.840027,678.169983,687.989990,32000
1997-02-03,KOSPI,682.260010,687.250000,681.010010,696.210022,27300
1997-02-04,KOSPI,687.840027,695.950012,687.840027,696.239990,33100
1997-02-05,KOSPI,698.179993,698.599976,697.950012,708.200012,38600
1997-02-06,KOSPI,698.539978,700.219971,693.820007,704.440002,34100
1997-02-10,KOSPI,701.429993,709.789978,701.429993,709.799988,29300
1997-02-11,KOSPI,711.109985,713.429993,707.859985,713.880005,41400
1997-02-12,KOSPI,714.820007,712.500000,708.719971,715.869995,35300
1997-02-13,KOSPI,713.640015,716.710022,713.640015,726.130005,49800
1997-02-14,KOSPI,717.289978,721.000000,715.000000,723.020020,39100
1997-02-17,KOSPI,720.419983,712.929993,712.929993,721.500000,31500
1997-02-18,KOSPI,712.619995,706.940002,703.989990,715.179993,30400
1997-02-19,KOSPI,708.640015,713.669983,706.580017,713.669983,31100
1997-02-20,KOSPI,713.500000,711.130005,707.830017,716.179993,35000
1997-02-21,KOSPI,710.869995,686.719971,686.710022,711.750000,30800
1997-02-24,KOSPI,681.479980,676.590027,676.109985,686.940002,24100
1997-02-25,KOSPI,676.729980,682.809998,670.409973,682.809998,25300
1997-02-26,KOSPI,683.590027,679.710022,679.659973,691.270020,29900
1997-02-27,KOSPI,678.109985,669.409973,668.710022,679.799988,30300
1997-02-28,KOSPI,669.010010,676.530029,664.750000,679.070007,37800
1997-03-03,KOSPI,677.179993,679.640015,677.179993,684.440002,27000
1997-03-04,KOSPI,679.510010,679.969971,675.820007,683.320007,28100
1997-03-05,KOSPI,680.479980,674.900024,673.630005,684.549988,38800
1997-03-06,KOSPI,675.250000,678.109985,675.250000,685.950012,41300
1997-03-07,KOSPI,679.830017,681.219971,679.830017,685.260010,37400
1997-03-10,KOSPI,673.909973,667.349976,667.289978,674.289978,29400
1997-03-11,KOSPI,665.830017,655.950012,654.919983,665.830017,29800
1997-03-12,KOSPI,655.760010,663.900024,655.070007,663.900024,30000
1997-03-13,KOSPI,663.909973,657.900024,656.859985,666.260010,32100
1997-03-14,KOSPI,657.729980,642.080017,641.830017,657.979980,27600
1997-03-17,KOSPI,642.169983,658.900024,641.039978,658.940002,28400
1997-03-18,KOSPI,659.729980,657.969971,653.250000,663.700012,30500
1997-03-19,KOSPI,656.900024,646.289978,643.039978,656.900024,33000
1997-03-20,KOSPI,642.729980,642.859985,630.369995,646.729980,34100
1997-03-21,KOSPI,640.520020,627.630005,626.390015,640.520020,34200
1997-03-24,KOSPI,622.140015,617.260010,607.869995,622.390015,36200
1997-03-25,KOSPI,616.109985,638.900024,614.989990,638.900024,43000
1997-03-26,KOSPI,640.450012,656.619995,637.359985,656.780029,44000
1997-03-27,KOSPI,657.099976,651.650024,651.590027,665.570007,45600
1997-03-28,KOSPI,652.880005,652.869995,650.719971,661.549988,40700
1997-03-31,KOSPI,670.750000,677.340027,670.750000,678.760010,44000
1997-04-01,KOSPI,678.969971,672.989990,672.070007,688.119995,38600
1997-04-02,KOSPI,672.820007,678.859985,668.719971,683.320007,36300
1997-04-03,KOSPI,680.140015,678.739990,676.440002,689.119995,41700
1997-04-04,KOSPI,679.880005,687.419983,679.140015,688.059998,40600
1997-04-07,KOSPI,688.880005,694.900024,688.880005,699.020020,40700
1997-04-08,KOSPI,695.349976,694.969971,687.869995,699.070007,40100
1997-04-09,KOSPI,695.859985,698.659973,694.549988,699.700012,43800
1997-04-10,KOSPI,698.880005,688.039978,688.039978,700.059998,46100
